Patient_ID,Dice,HD95,Sensitivity,Precision,GT_Voxels,Pred_Raw_Voxels,Pred_Voxels,Overlap_Voxels,Prob_Min,Prob_Max,Prob_Mean,Prob_Std,Voxels_Above_Threshold,Binary_Channel,Threshold,Target_Shape,Image_Path,Label_Path,Error
282.1,0.9192200557103064,1.0,0.8967391304347826,0.9428571428571428,552,525,525,495,0.0,1.0,0.0002463624987285,0.0156059954315423,525,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/282.1.nii.gz,/home/kamilabdelali/anotherdata/labels/282.1.nii.gz,
21.1,0.9066059225512528,1.0,0.9170506912442395,0.8963963963963963,434,444,444,398,0.0,1.0,0.0002081295097013,0.0143325328826904,444,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/21.1.nii.gz,/home/kamilabdelali/anotherdata/labels/21.1.nii.gz,
160.1,0.9019607843137256,1.0,0.8518518518518519,0.9583333333333334,189,168,168,161,0.0,1.0,8.020371024031192e-05,0.0089444750919938,168,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/160.1.nii.gz,/home/kamilabdelali/anotherdata/labels/160.1.nii.gz,
314.1,0.8975265017667845,1.0,0.9225181598062954,0.8738532110091743,826,872,872,762,0.0,1.0,0.0004134694463573,0.0202703457325696,872,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/314.1.nii.gz,/home/kamilabdelali/anotherdata/labels/314.1.nii.gz,
363.1,0.883623693379791,1.0,0.951951951951952,0.8244473342002601,666,769,769,634,0.0,1.0,0.0003591256972867,0.018818624317646,769,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/363.1.nii.gz,/home/kamilabdelali/anotherdata/labels/363.1.nii.gz,
366.1,0.8810572687224669,1.0,0.8333333333333334,0.9345794392523364,600,535,535,500,0.0,1.0,0.0002486891171429,0.0156376473605632,535,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/366.1.nii.gz,/home/kamilabdelali/anotherdata/labels/366.1.nii.gz,
305.1,0.8775292864749734,1.0,0.8530020703933747,0.9035087719298246,483,456,456,412,0.0,1.0,0.0002145358012057,0.014565635472536,456,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/305.1.nii.gz,/home/kamilabdelali/anotherdata/labels/305.1.nii.gz,
177.1,0.8773055332798717,1.0,0.9698581560283688,0.8008784773060029,564,683,683,547,0.0,1.0,0.0003219371137674,0.0178511291742324,683,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/177.1.nii.gz,/home/kamilabdelali/anotherdata/labels/177.1.nii.gz,
252.1,0.8740740740740741,37.75549048520136,0.9915966386554622,0.7814569536423841,119,151,151,118,0.0,1.0,6.838096305727959e-05,0.0081147635355591,151,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/252.1.nii.gz,/home/kamilabdelali/anotherdata/labels/252.1.nii.gz,
391.1,0.8719346049046321,1.0,0.8333333333333334,0.9142857142857144,576,525,525,480,0.0,1.0,0.0002463624987285,0.0156059954315423,525,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/391.1.nii.gz,/home/kamilabdelali/anotherdata/labels/391.1.nii.gz,
118.1,0.8707592891760905,1.0,0.9058823529411764,0.838258164852255,595,643,643,539,0.0,1.0,0.0003044480399694,0.0173943191766738,643,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/118.1.nii.gz,/home/kamilabdelali/anotherdata/labels/118.1.nii.gz,
96.1,0.8643006263048016,1.0,0.9951923076923076,0.7638376383763837,208,271,271,207,0.0,1.0,0.0001285504258703,0.0113032041117548,271,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/96.1.nii.gz,/home/kamilabdelali/anotherdata/labels/96.1.nii.gz,
365.1,0.8638838475499092,15.524174696260024,0.8947368421052632,0.8350877192982457,266,285,285,238,0.0,1.0,0.0001296854024985,0.011225389316678,285,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/365.1.nii.gz,/home/kamilabdelali/anotherdata/labels/365.1.nii.gz,
16.1,0.8620199146514936,1.0,0.8657142857142858,0.8583569405099151,350,353,353,303,0.0,1.0,0.0001663877774262,0.0128549374639987,353,0,0.2,"(128, 128, 128)",/home/kamilabdelali/anotherdata/images/16.1.nii.gz,/home/kamilabdelali/anotherdata/labels/16.1.nii.gz,
